id,studyCode,studyGroup,platform,startedAtMillis,endedAtMillis,rawDurationMillis,promptExcludedDurationMillis,meanDwellMillis,swipeCount,resolvableUnits,negativeUnits,oovRatio,nsdPercent,riskScore,riskLevel,sentimentReliability
1,P-01X,INTERVENTION,INSTAGRAM,1779509174811,1779509270543,87635,87635,11225,4,3,0,0.20833333333333334,0.0,16.67,SAFE,RELIABLE
2,P-01X,INTERVENTION,TIKTOK,1779519270706,1779520540669,1212801,1132878,12314,90,28,2,0.5005224660397074,,50.0,WARNING,SENTIMENT_UNRELIABLE
3,P-01X,INTERVENTION,TIKTOK,1779520999095,1779521209636,202186,202186,3315,60,25,2,0.5266393442622951,,16.67,SAFE,SENTIMENT_UNRELIABLE
4,P-01X,INTERVENTION,INSTAGRAM,1779522459846,1779522460087,241,241,241,0,1,0,0.42857142857142855,0.0,16.67,SAFE,RELIABLE
5,P-01X,INTERVENTION,INSTAGRAM,1779530347220,1779530362737,15517,15517,15517,0,0,0,1.0,,18.601226516860226,SAFE,SENTIMENT_UNRELIABLE
6,P-01X,INTERVENTION,INSTAGRAM,1779530440595,1779530455002,13376,13376,13376,0,0,0,1.0,,16.67,SAFE,SENTIMENT_UNRELIABLE
7,P-01X,INTERVENTION,INSTAGRAM,1779530496056,1779530503733,7287,7287,7287,0,0,0,1.0,,16.67,SAFE,SENTIMENT_UNRELIABLE
8,P-01X,INTERVENTION,INSTAGRAM,1779530655592,1779531568374,897605,897605,28955,30,22,8,0.24607329842931938,36.36363636363637,83.33,CRITICAL,RELIABLE
9,P-01X,INTERVENTION,TIKTOK,1779538812300,1779538908677,96364,96364,45000,0,1,1,0.42857142857142855,100.0,83.33,CRITICAL,RELIABLE
